"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","AIRPORT_STATE_NAME","AIRPORT_STATE_CODE","DISPLAY_CITY_MARKET_NAME_FULL","LAT_DEGREES","LATITUDE","LON_DEGREES","LONGITUDE","AIRPORT_START_DATE","AIRPORT_THRU_DATE",
1000101,10001,"01A","Afognak Lake Airport","Alaska","AK","Afognak Lake, AK",58,58.10944444,152,-152.90666667,2007-07-01,,
1000301,10003,"03A","Bear Creek Mining Strip","Alaska","AK","Granite Mountain, AK",65,65.54805556,161,-161.07166667,2007-07-01,,
1000401,10004,"04A","Lik Mining Camp","Alaska","AK","Lik, AK",68,68.08333333,163,-163.16666667,2007-07-01,,
1000501,10005,"05A","Little Squaw Airport","Alaska","AK","Little Squaw, AK",67,67.57000000,148,-148.18388889,2007-08-01,,
1000601,10006,"06A","Kizhuyak Bay","Alaska","AK","Kizhuyak, AK",57,57.74527778,152,-152.88277778,2007-10-01,,
1000701,10007,"07A","Klawock Seaplane Base","Alaska","AK","Klawock, AK",55,55.55472222,133,-133.10166667,2008-04-01,,
1000801,10008,"08A","Elizabeth Island Airport","Alaska","AK","Elizabeth Island, AK",59,59.15694444,151,-151.82916667,2008-06-01,,
1000901,10009,"09A","Augustin Island","Alaska","AK","Homer, AK",59,59.36277778,153,-153.43055556,2008-06-01,,
1001001,10010,"1B1","Columbia County","New York","NY","Hudson, NY",42,42.28888889,73,-73.71027778,2009-04-01,2011-06-30,
1001002,10010,"1B1","Columbia County","New York","NY","Hudson, NY",42,42.29138889,73,-73.71027778,2011-07-01,,
1001101,10011,"1G4","Grand Canyon West","Arizona","AZ","Peach Springs, AZ",35,35.99027778,113,-113.81638889,2008-07-01,2011-09-30,
1001102,10011,"1G4","Grand Canyon West","Arizona","AZ","Peach Springs, AZ",35,35.98611111,113,-113.81694444,2011-10-01,2017-10-31,
1001103,10011,"1G4","Grand Canyon West","Arizona","AZ","Peach Springs, AZ",35,35.99027778,113,-113.81638889,2017-11-01,2017-11-30,
1001104,10011,"1G4","Grand Canyon West","Arizona","AZ","Peach Springs, AZ",35,35.98611111,113,-113.81694444,2017-12-01,,
1001201,10012,"1N7","Blairstown Airport","New Jersey","NJ","Blairstown, NJ",40,40.97111111,74,-74.99750000,2008-07-01,,
1001301,10013,"8F3","Crosbyton Municipal","Texas","TX","Crosbyton, TX",33,33.62388889,101,-101.24083333,2009-01-01,,
1001401,10014,"A01","Blair Lake","Alaska","AK","Fairbanks, AK",64,64.36416667,147,-147.36138889,2002-10-01,2011-06-30,
1001402,10014,"A01","Blair Lake","Alaska","AK","Fairbanks, AK",64,64.36361111,147,-147.36388889,2011-07-01,,
1001501,10015,"A02","Deadmans Bay Airport","Alaska","AK","Deadmans Bay, AK",57,57.06666667,153,-153.93777778,2002-06-01,,
1001601,10016,"A03","Hallo Bay Airport","Alaska","AK","Hallo Bay, AK",58,58.45750000,154,-154.02333333,2002-04-01,,
1001701,10017,"A04","Red Lake Airport","Alaska","AK","Red Lake, AK",57,57.27722222,154,-154.34222222,2002-09-01,,
1001801,10018,"A05","Shell Lake Airport","Alaska","AK","Shell Lake, AK",61,61.96388889,151,-151.55583333,2002-11-01,,
1001901,10019,"A06","Navigator Airstrip","Alaska","AK","Kougarok, AK",65,65.65555556,165,-165.35638889,2002-06-01,,
1002001,10020,"A07","Roland Norton Memorial Airstrip","Alaska","AK","Selawik, AK",66,66.76583333,160,-160.15250000,2002-12-01,2011-06-30,
1002002,10020,"A07","Roland Norton Memorial","Alaska","AK","Selawik, AK",66,66.76611111,160,-160.15277778,2011-07-01,,
1002101,10021,"A08","Pillar Bay Airport","Alaska","AK","Pillar Bay, AK",56,56.59805556,134,-134.24277778,1950-01-01,,
1002201,10022,"JOH","Johnstone Point Airport","Alaska","AK","Johnstone Point, AK",60,60.48138889,146,-146.58222222,1974-07-01,2002-12-31,
1002202,10022,"A09","Johnstone Point Airport","Alaska","AK","Johnstone Point, AK",60,60.48222222,146,-146.58222222,2003-01-01,2013-11-30,
1002203,10022,"A09","Johnstone Point Airport","Alaska","AK","Johnstone Point, AK",60,60.48166667,146,-146.58416667,2013-12-01,2017-10-31,
1002204,10022,"A09","Johnstone Point Airport","Alaska","AK","Johnstone Point, AK",60,60.48222222,146,-146.58222222,2017-11-01,2017-11-30,
1002205,10022,"A09","Johnstone Point Airport","Alaska","AK","Johnstone Point, AK",60,60.48166667,146,-146.58416667,2017-12-01,,
1002301,10023,"TLK","Tikchik Lodge Airport","Alaska","AK","Tikchik Lodge, AK",59,59.95555556,158,-158.48055556,1950-01-01,2002-11-30,
1002302,10023,"KTH","Tikchik Lodge Airport","Alaska","AK","Tikchik Lodge, AK",59,59.95555556,158,-158.48055556,2002-12-01,,
1002401,10024,"A11","Bell Creek Airport","Alaska","AK","Bell Creek, AK",60,60.78388889,159,-159.54027778,2002-12-01,,
1002501,10025,"A12","Cinnabar Airport","Alaska","AK","Cinnabar, AK",60,60.78527778,158,-158.86444444,2002-12-01,,
1002601,10026,"A13","Mountaintop Mine Airport","Alaska","AK","Mountaintop Mine, AK",61,61.39027778,157,-157.99555556,2002-12-01,,
1002701,10027,"A14","Whitebear Airport","Alaska","AK","Whitebear, AK",61,61.18888889,159,-159.85833333,2002-12-01,,
1002801,10028,"A15","Puviaq Airport","Alaska","AK","Puviaq, AK",70,70.71861111,154,-154.38833333,2003-02-01,2011-06-30,
1002802,10028,"A15","Puviaq Airport","Alaska","AK","Puviaq, AK",70,70.71555556,154,-154.40694444,2011-07-01,2013-02-28,
1002901,10029,"A16","Arley Lake Airport","Alaska","AK","Arley Lake, AK",70,70.74694444,155,-155.36083333,2003-03-01,,
1003001,10030,"A17","Port Vita Airport","Alaska","AK","Port Vita, AK",58,58.06555556,153,-153.07250000,2002-09-01,,
1003101,10031,"A18","Kantishna Airport","Alaska","AK","Kantishna, AK",63,63.54166667,150,-150.99388889,1950-01-01,2015-11-30,
1003102,10031,"A18","Kantishna Airport","Alaska","AK","Kantishna, AK",63,63.54111111,150,-150.99500000,2015-12-01,2017-10-31,
1003103,10031,"A18","Kantishna Airport","Alaska","AK","Kantishna, AK",63,63.54166667,150,-150.99388889,2017-11-01,2017-11-30,
1003104,10031,"A18","Kantishna Airport","Alaska","AK","Kantishna, AK",63,63.54111111,150,-150.99500000,2017-12-01,,
1003301,10033,"A20","Alpine Airstrip","Alaska","AK","Alpine, AK",70,70.34416667,150,-150.94472222,2002-08-01,,
1003401,10034,"A21","Serpentine Airport","Alaska","AK","Serpentine, AK",65,65.85138889,164,-164.70277778,2003-05-01,,
1003501,10035,"A22","Driftwood Bay Airport","Alaska","AK","Driftwood Bay, AK",53,53.97277778,166,-166.85694444,2003-01-01,,
1003601,10036,"A23","Bradley Lake Airport","Alaska","AK","Bradley Lake, AK",59,59.77611111,151,-151.96361111,2003-01-01,,
1003701,10037,"A24","Chilkat Lake Airport","Alaska","AK","Chilkat Lake, AK",59,59.33166667,135,-135.89666667,2002-08-01,,
1003801,10038,"A25","Nugget Creek Airport","Alaska","AK","Nugget Creek, AK",59,59.28833333,136,-136.17388889,2002-08-01,,
1003901,10039,"A26","Ivotuk Airstrip","Alaska","AK","Ivotuk, AK",68,68.48333333,155,-155.73333333,2003-05-01,,
1004001,10040,"A27","Pogo Mines Airport","Alaska","AK","Pogo Mines, AK",64,64.44000000,144,-144.93638889,2003-10-01,,
1004101,10041,"A28","Ayakulik River Airport","Alaska","AK","Ayakulik River, AK",57,57.25388889,154,-154.42222222,2001-01-01,,
1004201,10042,"A29","Kiluda Bay Airport","Alaska","AK","Kiluda Bay, AK",57,57.32305556,153,-153.14944444,2001-01-01,,
1004301,10043,"A30","Terror Lake Airport","Alaska","AK","Terror Lake, AK",57,57.96388889,153,-153.05833333,2001-01-01,,
1004401,10044,"A31","Selief Bay Airport","Alaska","AK","Selief Bay, AK",58,58.98277778,153,-153.18333333,2001-01-01,,
1004701,10047,"A34","Laura Lake Airport","Alaska","AK","Laura Lake, AK",58,58.36194444,152,-152.31222222,2002-07-01,,
1004901,10049,"A36","Deep Bay Airport","Alaska","AK","Deep Bay, AK",55,55.56027778,131,-131.65555556,2001-01-01,,
1005001,10050,"A37","Kako Airport","Alaska","AK","Kako, AK",61,61.89888889,161,-161.43805556,2003-01-01,2011-06-30,
1005002,10050,"A37","Kako Airport","Alaska","AK","Kako, AK",61,61.89888889,161,-161.43972222,2011-07-01,,
1005101,10051,"A38","Molly Creek Airport","Alaska","AK","Molly Creek, AK",64,64.09722222,143,-143.26666667,2003-01-01,,
1005201,10052,"A39","Ptarmigan Lake Airport","Alaska","AK","Ptarmigan Lake, AK",61,61.86611111,141,-141.15972222,2003-01-01,,
1005301,10053,"A40","Cape Simpson Airport","Alaska","AK","Cape Simpson, AK",71,71.05694444,154,-154.72833333,2002-07-01,,
1005401,10054,"A41","Kogru River Airport","Alaska","AK","Kogru River, AK",70,70.57611111,152,-152.27111111,2002-07-01,2011-06-30,
1005402,10054,"A41","Kogru River Airport","Alaska","AK","Kogru River, AK",70,70.57472222,152,-152.25888889,2011-07-01,2013-03-31,
1005501,10055,"A42","Teshepkuk Lake Airport","Alaska","AK","Teshepkuk Lake, AK",70,70.35833333,153,-153.19666667,2004-01-01,,
1005601,10056,"A43","Trident Basin Seaplane Base","Alaska","AK","Kodiak Island, AK",57,57.78083333,152,-152.39111111,2003-04-01,,
1005801,10058,"A45","Lake Florence Airport","Alaska","AK","Lake Florence, AK",57,57.81666667,134,-134.58333333,2004-07-01,,
1005901,10059,"A46","Lake Hasselborg Airport","Alaska","AK","Lake Hasselborg, AK",57,57.70000000,134,-134.26666667,2004-07-01,,
1006001,10060,"A47","Distin Lake Airport","Alaska","AK","Distin Lake, AK",57,57.61666667,134,-134.36666667,2004-07-01,,
1006101,10061,"A48","Port Hobron Airport","Alaska","AK","Port Hobron, AK",57,57.15000000,153,-153.15000000,2004-07-01,,
1006201,10062,"A49","Mooseville Airstrip Airport","Alaska","AK","Mooseville Airstrip, AK",70,70.28444444,152,-152.21194444,2005-01-01,,
1006301,10063,"A50","Big Bay Airport","Alaska","AK","Big Bay, AK",58,58.56250000,152,-152.59611111,2005-01-01,,
1006401,10064,"A51","Wien Lake Airport","Alaska","AK","Wien Lake, AK",64,64.35277778,151,-151.27500000,2005-01-01,,
1006501,10065,"A52","Silver Salmon Creek Airport","Alaska","AK","Silver Salmon Creek, AK",59,59.96388889,152,-152.68222222,2003-04-01,,
1006601,10066,"A53","Blear Lake Airport","Alaska","AK","Blear Lake, AK",64,64.33333333,147,-147.50000000,2005-06-01,,
1006701,10067,"A54","Cannery Bay Airport","Alaska","AK","Cannery Bay, AK",53,53.68333333,166,-166.75000000,2005-01-01,,
1006901,10069,"A56","Johnsons Landing","Alaska","AK","Bear Lake, AK",56,56.03666667,160,-160.26611111,2005-03-01,,
1007001,10070,"VZK","International Seafoods Airport","Alaska","AK","International Seafoods, AK",58,58.26666667,157,-157.53333333,1999-04-01,2001-09-30,
1007002,10070,"A57","International Seafoods Airport","Alaska","AK","International Seafoods, AK",58,58.26666667,157,-157.53333333,2001-10-01,,
1007101,10071,"A58","Cosna River Airport","Alaska","AK","Cosna River, AK",64,64.50000000,151,-151.66666667,2005-04-01,,
1007201,10072,"A59","Ivatuk Airport","Alaska","AK","Ivatuk, AK",68,68.48777778,155,-155.75750000,2005-04-01,,
1007401,10074,"A61","Cape Sarichef AFS","Alaska","AK","Cape Sarichef, AK",54,54.58333333,164,-164.91250000,1999-03-01,2011-06-30,
1007402,10074,"A61","Cape Sarichef Airport","Alaska","AK","Cape Sarichef, AK",54,54.58250000,164,-164.91444444,2011-07-01,,
1007501,10075,"A62","Taylor Mountain","Alaska","AK","Taylor Mountain Mine, AK",60,60.86777778,157,-157.39194444,2005-04-01,,
1007601,10076,"A63","Coal Creek","Alaska","AK","Yukon Charley Rivvers, AK",65,65.31111111,143,-143.13527778,2005-06-01,2011-06-30,
1007602,10076,"A63","Coal Creek","Alaska","AK","Yukon Charley Rivvers, AK",65,65.31138889,143,-143.13555556,2011-07-01,2015-11-30,
1007603,10076,"A63","Coal Creek","Alaska","AK","Yukon Charley Rivvers, AK",65,65.31166667,143,-143.13416667,2015-12-01,2017-10-31,
1007604,10076,"A63","Coal Creek","Alaska","AK","Yukon Charley Rivvers, AK",65,65.31138889,143,-143.13555556,2017-11-01,2017-11-30,
1007605,10076,"A63","Coal Creek","Alaska","AK","Yukon Charley Rivvers, AK",65,65.31166667,143,-143.13416667,2017-12-01,,
1007801,10078,"A65","Karluk Portage Airport","Alaska","AK","Karluk Portage, AK",57,57.53833333,154,-154.16444444,2005-06-01,,
1007901,10079,"A66","Hope Airport","Alaska","AK","Hope, AK",60,60.90555556,149,-149.62388889,2005-08-01,2011-06-30,
1007902,10079,"A66","Hope Airport","Alaska","AK","Hope, AK",60,60.90416667,149,-149.62388889,2011-07-01,2015-03-31,
1007903,10079,"A66","Hope Airport","Alaska","AK","Hope, AK",60,60.90722222,149,-149.62277778,2015-04-01,2017-10-31,
1007904,10079,"A66","Hope Airport","Alaska","AK","Hope, AK",60,60.90416667,149,-149.62388889,2017-11-01,2017-11-30,
1007905,10079,"A66","Hope Airport","Alaska","AK","Hope, AK",60,60.90722222,149,-149.62277778,2017-12-01,,
1008001,10080,"A67","Viekoda Bay Airport","Alaska","AK","Viekoda Bay, AK",57,57.84944444,153,-153.11527778,2005-07-01,,
1008201,10082,"A69","Cathedral Strip","Alaska","AK","Cold Bay, AK",55,55.74000000,162,-162.12527778,2005-07-01,,
1008301,10083,"A70","Village Islands Airport","Alaska","AK","Village Islands, AK",57,57.77416667,153,-153.54472222,2005-10-01,,
1008401,10084,"A71","Bear Cove Farm","Alaska","AK","Homer, AK",59,59.73833333,151,-151.03000000,2005-04-01,,
1008501,10085,"A72","Chinitna Bay Airport","Alaska","AK","Chinitna Bay, AK",59,59.83333333,152,-152.58472222,2005-04-01,,
1008601,10086,"A73","McKinley National Park","Alaska","AK","McKinley Park, AK",63,63.73250000,148,-148.91055556,1950-01-01,,
1008701,10087,"A74","Dog Fish Bay","Alaska","AK","Nanwalek, AK",59,59.24111111,151,-151.87722222,2005-04-01,,
1008801,10088,"A75","Malina Bay Airport","Alaska","AK","Malina Bay, AK",58,58.17194444,152,-152.89416667,2005-10-01,,
1008901,10089,"A76","Red Fox Bay Airport","Alaska","AK","Red Fox Bay, AK",58,58.46444444,152,-152.59305556,2005-10-01,,
1009001,10090,"A77","Shearwater Airport","Alaska","AK","Shearwater, AK",57,57.34333333,152,-152.89722222,2005-10-01,,
1009101,10091,"A78","Lake","Alaska","AK","Cape Simpson, AK",71,71.03000000,154,-154.44361111,2005-10-01,,
1009201,10092,"A79","Cape Simpson No. 1","Alaska","AK","Cape Simpson, AK",71,71.50166667,154,-154.03388889,2005-10-01,,
1009301,10093,"A80","Cape Simpson No. 7","Alaska","AK","Cape Simpson, AK",70,70.57388889,155,-155.32138889,2005-10-01,,
1009401,10094,"A81","Cape Simpson #1","Alaska","AK","Aglaq, AK",70,70.66277778,154,-154.83666667,2006-01-01,,
1009501,10095,"A82","Nikiski Private Airstrip","Alaska","AK","Nikiski, AK",60,60.69027778,151,-151.28888889,2006-01-01,,
1009601,10096,"A83","Petrof Point Airport","Alaska","AK","Petrof Point, AK",59,59.37638889,150,-150.76500000,2006-03-01,,
1009701,10097,"A84","Denali West Lodge Private","Alaska","AK","Denali, AK",63,63.75555556,147,-147.93000000,2006-06-01,,
1009801,10098,"A85","Big River Airport","Alaska","AK","Big River, AK",61,61.85944444,154,-154.27666667,2002-10-01,,
1010001,10100,"A87","Carry Inlet Airport","Alaska","AK","Carry Inlet, AK",58,58.58305556,152,-152.44583333,2006-07-01,,
1010201,10102,"A89","Montague Island Airport","Alaska","AK","Montague Island, AK",59,59.92500000,147,-147.51666667,2006-10-01,,
